Store,Weekly_Sales,Holiday_Flag,Temperature,Unemployment,year,month,week,CPI_R
6.0,1572117.54,,59.61,6.858,2011.0,2.0,3.0,2
13.0,1807545.43,Regular,42.38,7.47,2011.0,3.0,4.0,0
6.0,1644470.66,Regular,78.89,7.0920000000000005,2010.0,5.0,5.0,1
4.0,1857533.7,Regular,,7.896,2010.0,5.0,5.0,0
15.0,695396.19,Regular,69.8,7.657999999999999,2011.0,3.0,1.0,0
20.0,2203523.2,Regular,39.93,6.961,2012.0,3.0,1.0,1
14.0,2600519.26,Regular,30.54,,2010.0,10.0,3.0,2
3.0,418925.47,Regular,60.12,6.832999999999998,,,,2
8.0,895066.5,Regular,82.92,6.425,2011.0,8.0,3.0,2
18.0,1029618.1,Regular,52.02,9.331,2010.0,10.0,3.0,0
7.0,414094.05,Regular,36.61,8.595,2011.0,5.0,3.0,1
1.0,1677472.78,Regular,64.74,7.348,2012.0,3.0,3.0,2
17.0,829207.27,Regular,60.07,6.885,2010.0,1.0,2.0,0
6.0,1498080.16,,68.91,7.0920000000000005,2010.0,4.0,5.0,1
13.0,1997397.63,Regular,76.34,7.951,2010.0,8.0,4.0,2
18.0,1205307.5,Regular,21.33,9.202,,,,0
2.0,2432736.52,Regular,50.13,7.441,2011.0,12.0,3.0,2
7.0,561145.14,Regular,38.26,8.963,2010.0,2.0,1.0,1
5.0,290930.01,Regular,77.38,6.489,2011.0,5.0,3.0,2
18.0,1074079.0,Regular,50.97,8.243,2012.0,12.0,3.0,0
19.0,1427023.45,Regular,39.07,8.35,2010.0,3.0,4.0,0
19.0,1405007.44,Regular,50.76,8.15,2012.0,4.0,2.0,0
17.0,919878.34,Regular,44.82,5.527,2012.0,12.0,3.0,0
3.0,367438.62,Regular,51.86,6.832999999999998,2012.0,1.0,3.0,2
16.0,435397.19,Regular,43.95,6.339,2011.0,5.0,4.0,1
17.0,757738.76,Regular,45.22,6.635,2010.0,4.0,3.0,0
6.0,1420405.41,Regular,,6.925,2011.0,8.0,4.0,2
7.0,563460.77,Holiday,18.79,8.256,2012.0,10.0,1.0,1
14.0,2077256.24,Holiday,37.0,8.424,2012.0,10.0,1.0,2
19.0,1266564.94,Regular,33.26,7.771,2011.0,3.0,4.0,0
3.0,365248.94,Regular,80.19,7.567,2011.0,9.0,4.0,2
18.0,988157.72,Regular,,8.975,2011.0,4.0,3.0,0
4.0,2008344.92,Regular,81.85,5.9460000000000015,2011.0,6.0,4.0,0
5.0,311906.7,Regular,60.71,6.3,2011.0,11.0,2.0,2
18.0,961186.23,Regular,50.43,8.304,2012.0,4.0,5.0,0
16.0,526525.16,Regular,,6.061,2012.0,9.0,3.0,1
7.0,629994.47,,57.6,8.622,2011.0,8.0,4.0,1
1.0,1641957.44,Holiday,38.51,8.106,2010.0,12.0,1.0,1
2.0,1861802.7,Regular,54.63,7.057,2012.0,2.0,4.0,2
5.0,268929.03,Regular,82.46,6.496,2010.0,7.0,5.0,1
19.0,1549018.68,Regular,66.25,8.099,2010.0,2.0,1.0,0
1.0,1624383.75,,91.65,7.9620000000000015,2011.0,5.0,2.0,2
16.0,485095.41,Regular,48.29,6.162000000000001,2012.0,3.0,5.0,1
13.0,2035431.39,Regular,61.11,5.965,2012.0,1.0,2.0,0
2.0,1916812.74,Regular,59.69,8.163,2010.0,12.0,2.0,1
9.0,509263.28,Regular,85.02,,2010.0,6.0,4.0,2
14.0,1879451.23,,41.76,8.549,2011.0,3.0,4.0,1
10.0,1805999.79,Regular,86.87,7.17,2012.0,6.0,2.0,0
13.0,1847430.96,Regular,63.6,6.877000000000002,2011.0,9.0,4.0,0
8.0,888816.78,Regular,74.92,6.315,2010.0,8.0,5.0,2
6.0,1532308.78,Regular,,6.973,2010.0,7.0,5.0,1
14.0,2020550.99,Regular,36.85,8.424,2012.0,2.0,3.0,1
14.0,2095599.93,Regular,,8.521,2011.0,6.0,1.0,1
10.0,1990371.02,Regular,57.62,7.545,2012.0,2.0,1.0,0
5.0,313358.15,Regular,69.17,5.4220000000000015,2012.0,10.0,3.0,2
4.0,2771397.17,Regular,36.44,5.143,2011.0,12.0,3.0,0
18.0,1166117.85,Regular,73.67,9.342,2010.0,6.0,2.0,0
3.0,461622.22,Regular,45.71,7.3679999999999986,2010.0,5.0,1.0,2
18.0,1588430.71,Regular,27.4,9.331,2010.0,12.0,3.0,2
13.0,2461468.35,Regular,36.78,7.795,2010.0,10.0,3.0,0
1.0,1449142.92,,85.22,7.787000000000001,2010.0,8.0,5.0,1
1.0,1508068.77,Regular,67.97,,2012.0,10.0,3.0,2
20.0,1973135.87,Regular,75.17,7.856,2010.0,6.0,4.0,1
15.0,570611.23,Regular,47.42,7.943,2012.0,3.0,3.0,0
1.0,1539483.7,Regular,62.25,7.866,2011.0,11.0,3.0,2
20.0,1789687.65,Regular,69.37,7.527,2010.0,9.0,4.0,2
9.0,519823.3,Regular,49.96,6.56,2010.0,11.0,3.0,2
11.0,1569607.94,Regular,52.77,6.832999999999998,,,,2
15.0,607475.44,Regular,79.97,7.806,,,,0
2.0,1758050.79,Regular,44.69,8.027999999999999,2011.0,7.0,1.0,1
3.0,431985.36,Regular,75.19,6.664,2012.0,11.0,2.0,2
